Player 1 Deadwood: ,,,,,,,,,,,,,,,,,,,,
61,61,60,60,58,55,55,55,55,,,,,,,,,,,,
16,14,14,9,9,,,,,,,,,,,,,,,,
28,21,21,15,9,9,,,,,,,,,,,,,,,
21,21,2,2,,,,,,,,,,,,,,,,,
52,50,47,30,30,30,,,,,,,,,,,,,,,
59,58,58,58,,,,,,,,,,,,,,,,,
70,40,37,37,37,37,34,34,34,,,,,,,,,,,,
59,38,38,38,29,26,29,7,7,,,,,,,,,,,,
53,46,17,14,16,16,16,,,,,,,,,,,,,,
60,32,28,28,10,10,,,,,,,,,,,,,,,
38,38,28,10,10,,,,,,,,,,,,,,,,
26,26,18,18,17,12,12,16,10,10,,,,,,,,,,,
46,43,42,38,24,23,21,19,3,3,,,,,,,,,,,
52,52,30,30,30,30,,,,,,,,,,,,,,,
64,34,24,24,25,24,24,24,24,24,,,,,,,,,,,
55,55,55,49,49,50,50,50,,,,,,,,,,,,,
63,37,39,39,39,39,39,39,,,,,,,,,,,,,
19,19,15,15,15,12,12,12,12,12,,,,,,,,,,,
72,75,74,72,42,42,36,34,34,31,17,18,18,18,,,,,,,
58,58,58,53,53,53,53,51,26,28,26,26,26,,,,,,,,
50,50,25,25,7,7,,,,,,,,,,,,,,,
43,40,36,33,33,13,13,13,13,,,,,,,,,,,,
42,42,32,30,8,8,,,,,,,,,,,,,,,
14,14,14,14,14,14,14,,,,,,,,,,,,,,
37,31,23,23,20,20,20,,,,,,,,,,,,,,
41,41,39,33,33,28,28,23,23,23,,,,,,,,,,,
49,51,21,12,10,10,,,,,,,,,,,,,,,
35,12,12,12,17,1,1,,,,,,,,,,,,,,
56,56,56,56,51,52,52,52,,,,,,,,,,,,,
63,63,63,,,,,,,,,,,,,,,,,,
37,31,31,31,31,12,12,12,12,12,,,,,,,,,,,
48,19,19,22,25,20,20,20,,,,,,,,,,,,,
82,75,46,46,46,50,27,5,5,,,,,,,,,,,,
64,64,64,64,34,25,25,25,18,18,4,4,,,,,,,,,
64,64,64,60,61,38,38,38,38,,,,,,,,,,,,
51,51,23,22,19,16,16,16,,,,,,,,,,,,,
36,36,36,36,38,32,26,8,8,,,,,,,,,,,,
23,19,19,3,3,,,,,,,,,,,,,,,,
56,52,50,24,21,21,16,16,16,16,,,,,,,,,,,
47,50,49,25,21,20,20,3,3,,,,,,,,,,,,
25,25,19,15,10,10,,,,,,,,,,,,,,,
49,50,27,17,12,13,13,7,7,,,,,,,,,,,,
44,22,19,18,18,16,19,19,19,19,19,19,19,,,,,,,,
38,38,37,37,37,,,,,,,,,,,,,,,,
66,66,66,63,39,37,37,35,13,13,13,13,,,,,,,,,
64,58,28,21,17,17,17,21,21,21,,,,,,,,,,,
73,43,43,41,38,16,16,12,8,8,,,,,,,,,,,
73,43,43,43,43,40,39,14,14,14,,,,,,,,,,,
64,65,62,42,24,24,1,1,,,,,,,,,,,,,
68,41,24,19,15,9,9,,,,,,,,,,,,,,
61,31,28,21,25,25,7,7,,,,,,,,,,,,,
37,38,38,30,29,30,23,21,11,11,11,,,,,,,,,,
29,29,24,6,6,,,,,,,,,,,,,,,,
59,29,29,19,23,23,0,,,,,,,,,,,,,,
42,42,43,41,21,18,13,13,13,,,,,,,,,,,,
48,48,44,20,15,15,15,,,,,,,,,,,,,,
13,13,13,10,10,,,,,,,,,,,,,,,,
46,16,15,15,15,15,15,15,15,,,,,,,,,,,,
50,47,23,23,23,,,,,,,,,,,,,,,,
54,54,54,53,51,49,49,49,,,,,,,,,,,,,
47,47,40,17,18,13,9,9,,,,,,,,,,,,,
52,53,52,23,25,25,25,,,,,,,,,,,,,,
24,14,13,13,0,,,,,,,,,,,,,,,,
73,71,42,42,42,,,,,,,,,,,,,,,,
71,71,68,66,65,67,61,57,55,55,55,55,55,,,,,,,,
61,31,25,19,6,6,,,,,,,,,,,,,,,
