Game,Rounds,P0 Score,P1 Score,Winner,,
312,11,28,113,1,,
313,10,99,104,1,,
314,6,32,104,1,,
315,5,104,59,0,,
316,5,108,79,0,,
317,8,104,64,0,,
318,10,93,104,1,,
319,10,88,101,1,,
320,5,118,7,0,,
321,7,117,36,0,,
322,12,67,130,1,,
323,8,39,105,1,,
324,8,105,81,0,,
325,12,111,85,0,,
326,7,109,69,0,,
327,3,0,104,1,,
328,8,102,63,0,,
329,6,109,8,0,,
330,4,129,0,0,,
331,6,106,23,0,,
332,6,110,13,0,,
333,9,110,66,0,,
334,8,73,140,1,,
335,9,105,44,0,,
336,8,125,65,0,,
337,6,116,43,0,,
338,9,27,100,1,,
339,11,108,84,0,,
340,7,107,30,0,,
341,9,126,41,0,,
342,7,110,33,0,,
343,5,0,111,1,,
344,10,99,108,1,,
345,4,100,0,0,,
346,8,18,110,1,,
347,9,44,103,1,,
348,3,103,0,0,,
349,6,107,45,0,,
350,15,62,104,1,,
351,6,46,107,1,,
352,7,27,104,1,,
353,10,99,107,1,,
354,10,88,116,1,,
355,6,138,18,0,,
356,5,76,130,1,,
357,7,22,117,1,,
358,11,110,69,0,,
359,6,19,108,1,,
360,13,134,74,0,,
361,8,89,100,1,,
362,9,112,60,0,,
363,10,66,101,1,,
364,7,134,81,0,,
365,12,125,46,0,,
366,8,80,108,1,,
367,6,50,103,1,,
368,8,36,137,1,,
369,6,112,42,0,,
370,7,126,8,0,,
371,10,94,115,1,,
372,6,109,18,0,,
373,7,123,26,0,,
374,5,110,19,0,,
375,3,0,113,1,,
376,6,113,60,0,,
377,10,116,35,0,,
378,7,100,67,0,,
379,8,102,56,0,,
380,7,131,60,0,,
381,8,66,142,1,,
382,8,55,112,1,,
383,5,119,9,0,,
384,6,68,156,1,,
385,12,100,77,0,,
386,5,100,80,0,,
387,7,108,12,0,,
388,5,110,0,0,,
389,7,60,112,1,,
390,4,104,16,0,,
391,8,94,102,1,,
392,5,0,112,1,,
393,4,102,0,0,,
394,8,53,102,1,,
395,6,103,60,0,,
396,12,101,47,0,,
397,9,65,127,1,,
398,4,20,100,1,,
399,9,2,102,1,,
400,12,91,100,1,,
401,5,35,114,1,,
402,7,142,5,0,,
403,12,106,84,0,,
404,8,103,55,0,,
405,8,30,104,1,,
406,4,101,0,0,,
407,5,132,10,0,,
408,7,104,32,0,,
409,9,135,72,0,,
410,6,102,80,0,,
411,10,130,20,0,,
412,9,131,59,0,,
413,9,51,111,1,,
414,8,61,103,1,,
415,12,104,98,0,,
416,7,130,45,0,,
417,6,105,64,0,,
418,11,72,137,1,,
419,7,114,26,0,,
420,3,0,104,1,,
421,9,103,33,0,,
422,4,120,2,0,,
423,10,72,100,1,,
424,8,36,124,1,,
425,5,111,7,0,,
426,8,82,124,1,,
427,11,120,91,0,,
428,9,106,6,0,,
429,9,50,124,1,,
430,4,0,107,1,,
431,12,84,112,1,,
432,10,106,94,0,,
433,10,100,73,0,,
434,8,33,130,1,,
435,9,131,61,0,,
436,9,22,100,1,,
437,8,73,122,1,,
438,7,110,52,0,,
439,10,127,29,0,,
440,8,118,16,0,,
441,8,61,119,1,,
442,10,37,116,1,,
443,6,129,33,0,,
444,12,117,73,0,,
445,9,111,75,0,,
446,4,102,2,0,,
447,8,59,105,1,,
448,11,100,89,0,,
449,7,100,77,0,,
450,7,50,139,1,,
451,14,93,105,1,,
452,8,117,33,0,,
453,8,20,124,1,,
454,3,100,19,0,,
455,10,60,123,1,,
456,10,111,93,0,,
457,7,148,39,0,,
458,10,65,109,1,,
459,5,4,106,1,,
460,9,123,8,0,,
461,9,29,104,1,,
462,9,124,43,0,,
463,9,87,117,1,,
464,9,80,128,1,,
465,12,107,67,0,,
466,6,124,5,0,,
467,8,121,63,0,,
468,9,155,58,0,,
469,8,100,54,0,,
470,5,115,27,0,,
471,5,25,107,1,,
472,9,101,83,0,,
473,10,91,142,1,,
474,8,137,25,0,,
475,7,61,106,1,,
476,7,116,84,0,,
477,12,99,104,1,,
478,7,112,16,0,,
479,12,61,127,1,,
480,7,106,65,0,,
481,8,116,27,0,,
482,7,124,9,0,,
483,8,112,44,0,,
484,4,0,136,1,,
485,9,68,100,1,,
486,9,80,128,1,,
487,9,121,43,0,,
488,11,53,150,1,,
489,6,112,0,0,,
490,4,100,29,0,,
491,8,108,21,0,,
492,7,100,70,0,,
493,9,135,68,0,,
494,5,15,115,1,,
495,12,140,76,0,,
496,4,108,0,0,,
497,8,71,119,1,,
498,12,122,74,0,,
499,6,111,14,0,,
,,,MeldWin,182,186,368
,,,BasWin,318,314,632
