RoundNumber,FinalRound,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadWoodValueP0,DeadWoodValueP1,CardsInDeadwoodP0,CardsInDeadwoodP1
8,true,1,66,104,20,7,4,4
7,true,1,65,104,15,6,4,3
6,true,0,107,49,8,52,2,7
4,true,0,109,52,6,72,3,10
5,true,0,104,21,9,29,3,4
6,true,1,64,119,35,10,7,4
5,true,1,73,101,36,10,7,4
4,true,0,103,52,3,28,1,6
13,true,1,89,109,24,6,4,2
5,true,1,33,109,23,0,7,0
7,true,1,59,119,46,9,7,5
8,true,0,141,50,7,51,3,7
8,true,1,60,103,40,2,4,1
3,true,0,103,6,4,68,1,10
9,true,0,122,96,1,24,1,7
6,true,1,52,105,50,10,10,3
5,true,1,11,120,41,6,7,3
5,true,0,185,39,0,69,0,10
2,true,0,113,24,8,47,3,7
2,true,1,0,133,25,0,4,0
7,true,1,36,112,28,10,6,4
3,true,1,0,103,22,6,3,2
7,true,0,133,43,4,41,1,7
5,true,1,87,105,21,10,3,4
8,true,0,109,30,10,24,4,4
9,true,0,128,72,1,31,1,6
4,true,1,51,101,37,10,7,3
4,true,1,46,102,44,5,7,3
6,true,0,104,64,9,31,4,7
4,true,0,115,50,5,35,3,7
5,true,0,108,55,10,30,4,7
4,true,1,0,116,30,10,7,3
7,true,1,66,115,57,7,7,2
6,true,0,129,75,9,59,1,10
5,true,0,130,57,0,13,0,3
6,true,1,58,124,37,9,7,3
9,true,0,159,58,0,44,0,10
6,true,1,73,141,69,7,10,4
2,true,1,0,117,33,10,6,4
7,true,1,26,157,47,0,7,0
6,true,1,79,111,48,10,7,4
6,true,0,132,62,8,62,4,10
6,true,1,63,102,56,9,10,4
3,true,1,0,125,28,2,6,1
1,true,0,119,0,4,71,1,10
6,true,0,127,77,6,66,1,10
7,true,1,94,126,45,10,7,3
8,true,0,125,92,0,20,0,4
8,true,1,69,114,40,1,7,1
3,true,0,129,18,0,49,0,10
7,true,0,106,82,2,42,1,7
8,true,0,114,61,9,39,3,7
8,true,1,63,121,30,3,6,2
9,true,1,67,128,41,10,7,4
6,true,1,30,103,33,6,7,4
7,true,1,60,122,49,3,7,1
6,true,1,25,105,24,10,4,3
5,true,0,126,72,5,70,2,10
5,true,0,121,26,0,14,0,4
4,true,1,16,114,43,8,5,4
5,true,1,24,100,46,4,7,1
7,true,0,105,72,0,17,0,6
4,true,0,118,32,8,73,3,10
5,true,0,114,80,6,35,1,7
2,true,0,117,0,10,60,3,10
4,true,0,100,72,4,18,3,3
3,true,1,0,104,36,8,6,3
6,true,1,66,110,19,2,7,1
2,true,0,109,4,0,14,0,6
6,true,1,10,134,43,0,7,0
5,true,0,141,17,9,60,3,10
4,true,1,0,107,38,7,7,3
7,true,0,115,83,5,50,3,7
5,true,0,104,71,1,54,1,10
2,true,1,0,114,62,9,10,1
3,true,0,101,0,9,41,4,7
4,true,0,110,65,1,33,1,7
5,true,1,28,118,57,9,10,2
8,true,1,76,106,13,6,4,2
6,true,1,59,116,26,7,4,3
9,true,1,99,102,18,7,4,4
5,true,1,50,130,56,6,7,2
11,true,0,107,95,1,12,1,3
4,true,1,0,118,36,10,7,3
6,true,1,45,115,35,9,7,4
4,true,1,17,102,35,1,7,1
