Game,Rounds,P0 Score,P1 Score,Winner
445,3,110,0,0
446,3,144,0,0
447,3,141,0,0
448,3,142,0,0
449,2,151,0,0
450,2,125,0,0
451,2,101,0,0
452,3,140,0,0
453,3,116,0,0
454,2,118,0,0
455,3,115,0,0
456,3,133,0,0
457,3,113,0,0
458,3,141,0,0
459,3,140,0,0
460,3,131,0,0
461,2,106,0,0
462,3,123,0,0
463,2,151,0,0
464,2,127,0,0
465,2,104,0,0
466,3,142,0,0
467,2,103,0,0
468,3,164,0,0
469,2,135,0,0
470,3,149,0,0
471,2,102,0,0
472,2,128,0,0
473,2,142,0,0
474,2,116,0,0
475,2,139,0,0
476,3,132,0,0
477,2,103,0,0
478,2,107,0,0
479,2,145,0,0
480,2,150,0,0
481,2,111,0,0
482,3,135,0,0
483,3,167,0,0
484,3,117,0,0
485,2,135,0,0
486,2,101,0,0
487,2,117,0,0
488,3,142,0,0
489,2,115,0,0
490,3,166,0,0
491,3,112,0,0
492,3,142,0,0
493,2,108,0,0
494,2,126,0,0
495,2,128,0,0
496,3,142,0,0
497,2,103,0,0
498,3,116,0,0
499,3,131,0,0
