Game,Rounds,P0 Score,P1 Score,Winner
303,2,0,123,1
304,3,0,144,1
305,2,0,107,1
306,2,0,138,1
307,3,0,148,1
308,3,0,166,1
309,2,0,114,1
310,2,0,159,1
311,3,0,147,1
312,2,0,100,1
313,3,0,129,1
314,3,0,139,1
315,2,0,126,1
316,2,0,112,1
317,2,0,118,1
318,2,0,129,1
319,3,0,135,1
320,3,0,173,1
321,2,0,128,1
322,2,0,111,1
323,2,0,117,1
324,3,0,149,1
325,3,0,121,1
326,2,0,114,1
327,2,0,110,1
328,3,0,155,1
329,3,0,122,1
330,3,0,124,1
331,3,0,144,1
332,3,0,139,1
333,3,0,149,1
334,3,0,152,1
335,3,0,160,1
336,3,0,136,1
337,2,0,115,1
338,3,0,142,1
339,3,0,158,1
340,3,0,102,1
341,2,0,131,1
342,2,0,100,1
343,3,0,110,1
344,3,0,127,1
345,2,0,101,1
346,3,0,150,1
347,2,0,116,1
348,3,0,152,1
349,2,0,103,1
350,2,0,118,1
351,3,0,117,1
352,2,0,105,1
353,3,0,168,1
354,2,0,117,1
355,3,0,145,1
356,2,0,104,1
357,2,0,101,1
358,3,0,119,1
359,2,0,118,1
360,2,0,115,1
361,2,0,106,1
362,3,0,113,1
363,2,0,129,1
364,2,0,104,1
365,2,0,107,1
366,2,0,125,1
367,2,0,102,1
368,3,0,130,1
369,2,0,122,1
370,2,0,125,1
371,3,0,137,1
372,2,0,101,1
373,3,0,100,1
374,2,0,129,1
375,3,0,127,1
376,2,0,108,1
377,4,0,144,1
378,2,0,108,1
379,4,0,157,1
380,3,0,134,1
381,4,0,152,1
382,3,0,140,1
383,3,0,156,1
384,2,0,109,1
385,2,0,129,1
386,2,0,135,1
387,2,0,104,1
388,2,0,110,1
389,2,0,119,1
390,3,0,123,1
391,2,0,123,1
392,2,0,132,1
393,3,0,128,1
394,2,0,123,1
395,2,0,112,1
396,2,0,131,1
397,3,0,153,1
398,2,0,113,1
399,2,0,111,1
400,3,0,136,1
401,3,0,133,1
402,2,0,120,1
403,2,0,119,1
404,2,0,126,1
405,2,0,116,1
406,3,0,127,1
407,2,0,133,1
408,2,0,108,1
409,2,0,103,1
410,2,0,107,1
411,3,0,138,1
412,2,0,128,1
413,3,0,140,1
414,3,0,146,1
415,2,0,125,1
416,2,0,101,1
417,2,0,107,1
418,2,0,142,1
419,2,0,131,1
420,2,0,131,1
421,2,0,119,1
422,2,0,121,1
423,3,0,136,1
424,3,0,148,1
425,2,0,120,1
426,2,0,101,1
427,3,0,134,1
428,2,0,116,1
429,2,0,115,1
430,3,0,140,1
431,3,0,104,1
432,2,0,112,1
433,3,0,124,1
434,2,0,132,1
435,2,0,136,1
436,3,21,118,1
437,2,0,114,1
438,3,0,124,1
439,2,0,109,1
440,3,0,118,1
441,2,0,118,1
442,2,0,105,1
443,2,0,113,1
444,2,0,125,1
445,3,0,119,1
446,3,0,164,1
447,3,0,128,1
448,3,0,153,1
449,3,0,160,1
450,2,0,105,1
451,2,0,135,1
452,3,0,111,1
453,2,0,125,1
454,2,0,131,1
455,2,0,117,1
456,2,0,100,1
457,2,0,109,1
458,3,0,132,1
459,3,0,133,1
460,2,0,147,1
461,2,0,107,1
462,3,0,126,1
463,2,0,127,1
464,2,0,143,1
465,2,0,134,1
466,2,0,103,1
467,3,0,137,1
468,2,0,100,1
469,2,0,113,1
470,2,0,142,1
471,3,0,105,1
472,2,0,111,1
473,2,0,109,1
474,3,0,141,1
475,3,0,150,1
476,4,44,107,1
477,2,0,123,1
478,2,0,122,1
479,2,0,102,1
480,3,0,137,1
481,2,0,100,1
482,4,0,145,1
483,3,0,107,1
484,2,0,125,1
485,3,0,149,1
486,2,0,114,1
487,3,0,142,1
488,3,0,153,1
489,2,0,104,1
490,3,0,116,1
491,3,0,124,1
492,3,0,157,1
493,3,0,117,1
494,3,0,145,1
495,2,0,101,1
496,3,0,143,1
497,2,0,130,1
498,3,0,164,1
499,3,0,141,1
