GameNumber,RoundNumber,WinningPlayer,ScorePlayer0,ScorePlayer1,DeadwoodPlayer0,DeadwoodPlayer1,CardsInDeadwoodPlayer0,CardsInDeadwoodPlayer1,FinalRound
21,9,0,151,96,2,68,1,10,true
22,0,Null,0,0,68,71,10,11,false
22,0,0,16,0,9,25,3,7,false
22,1,0,17,0,10,11,4,3,false
22,2,0,24,0,7,14,4,4,false
22,3,1,24,18,25,7,7,2,false
22,4,1,24,30,13,1,4,1,false
22,5,0,30,30,6,12,3,3,false
22,6,1,30,45,22,7,6,3,false
22,7,0,31,45,10,11,4,4,false
22,8,0,35,45,10,14,3,4,false
22,9,0,44,45,7,16,3,6,false
22,10,1,44,92,55,8,10,3,false
22,11,0,69,92,7,32,3,7,false
22,12,0,97,92,4,32,3,7,false
22,13,1,97,106,22,8,6,4,true
23,0,Null,0,0,72,68,10,11,false
23,0,0,9,0,10,19,2,4,false
23,1,1,9,16,18,2,6,1,false
23,2,0,41,16,9,41,4,10,false
23,3,0,60,16,8,27,3,7,false
23,4,0,73,16,6,19,3,6,false
23,5,1,73,21,15,10,6,3,false
23,6,0,87,21,7,21,3,4,false
23,7,1,87,43,27,5,6,3,false
23,8,0,144,43,8,65,4,10,true
24,0,Null,0,0,73,66,10,11,false
24,0,1,0,8,18,10,6,4,false
24,1,0,23,8,9,32,3,7,false
24,2,0,43,8,8,28,3,7,false
24,3,0,53,8,10,20,4,4,false
24,4,1,53,14,14,8,4,2,false
24,5,1,53,28,22,8,7,4,false
24,6,0,88,28,8,43,2,7,false
24,7,1,88,59,35,4,7,1,false
24,8,1,88,86,29,2,7,1,false
24,9,0,99,86,10,21,3,7,false
24,10,0,108,86,7,16,2,6,true
25,0,Null,0,0,59,78,10,11,false
25,0,1,0,27,32,5,7,3,false
25,1,0,38,27,4,42,3,7,false
25,2,1,38,49,30,8,7,1,false
25,3,1,38,57,11,3,3,1,false
25,4,0,56,57,10,28,4,6,false
25,5,0,68,57,7,19,4,4,false
25,6,0,78,57,7,17,4,6,false
25,7,0,100,57,8,30,4,7,true
26,0,Null,0,0,53,88,10,11,false
26,0,0,17,0,7,24,3,3,false
26,1,1,17,5,14,9,4,3,false
26,2,0,37,5,8,28,3,7,false
26,3,0,76,5,8,47,3,10,false
26,4,1,76,40,43,8,7,4,false
26,5,0,124,40,0,23,0,5,true
27,0,Null,0,0,58,73,10,11,false
27,0,0,17,0,9,26,4,7,false
27,1,1,17,8,15,7,6,2,false
27,2,0,79,8,1,63,1,10,false
27,3,1,79,20,19,7,7,3,false
27,4,1,79,38,27,9,4,3,false
27,5,0,95,38,1,17,1,4,false
27,6,0,117,38,1,23,1,6,true
28,0,Null,0,0,75,62,10,11,false
28,0,1,0,6,12,6,3,3,false
28,1,0,23,6,7,30,2,7,false
28,2,0,26,6,9,12,4,3,false
28,3,0,34,6,9,17,3,4,false
28,4,0,66,6,1,33,1,7,false
28,5,1,66,29,26,3,7,2,false
28,6,1,66,54,34,9,7,4,false
28,7,0,87,54,10,31,4,7,false
28,8,1,87,68,23,9,7,2,false
28,9,0,106,68,4,23,1,4,true
29,0,Null,0,0,64,80,10,11,false
29,0,1,0,5,12,7,4,3,false
29,1,1,0,19,23,9,6,4,false
29,2,1,0,56,44,7,7,4,false
29,3,1,0,68,13,1,4,1,false
29,4,0,4,68,8,12,3,4,false
29,5,1,4,73,15,10,4,1,false
29,6,0,44,73,4,44,1,10,false
29,7,1,44,87,24,10,5,3,false
29,8,0,68,87,7,31,4,7,false
29,9,0,80,87,8,20,4,4,false
29,10,1,80,114,36,9,7,3,true
30,0,Null,0,0,76,75,10,11,false
30,0,0,9,0,5,14,2,4,false
30,1,0,47,0,7,45,3,7,false
30,2,0,53,0,10,16,3,7,false
30,3,0,92,0,2,41,1,7,false
30,4,1,92,10,13,3,6,2,false
30,5,0,99,10,7,14,3,4,false
30,6,0,104,10,6,11,2,4,true
31,0,Null,0,0,55,76,10,11,false
31,0,1,0,5,15,10,4,3,false
31,1,0,6,5,5,11,1,4,false
31,2,0,36,5,9,39,4,7,false
31,3,0,56,5,7,27,3,6,false
31,4,0,74,5,9,27,4,7,false
31,5,0,126,5,10,62,4,10,true
32,0,Null,0,0,73,71,10,11,false
32,0,1,0,34,43,9,7,3,false
32,1,1,0,48,24,10,7,3,false
32,2,0,49,48,9,58,4,10,false
32,3,1,49,71,30,7,7,4,false
32,4,1,49,80,14,5,4,3,false
32,5,0,63,80,6,20,4,7,false
32,6,0,74,80,1,12,1,4,false
32,7,1,74,91,19,8,4,4,false
32,8,0,81,91,8,15,4,4,false
32,9,1,81,110,27,8,7,4,true
33,0,Null,0,0,57,76,10,11,false
33,0,0,33,0,10,43,3,7,false
33,1,0,47,0,2,16,1,3,false
33,2,0,55,0,5,13,3,3,false
33,3,0,61,0,7,13,1,3,false
33,4,0,87,0,7,33,3,7,false
33,5,0,93,0,8,14,4,4,false
33,6,1,93,18,23,5,6,3,false
33,7,0,117,18,1,25,1,4,true
34,0,Null,0,0,57,75,10,11,false
34,0,0,18,0,10,28,4,7,false
34,1,0,71,0,0,28,0,6,false
34,2,1,71,24,31,7,7,4,false
34,3,0,107,24,10,46,3,7,true
35,0,Null,0,0,62,67,10,11,false
35,0,0,9,0,8,17,4,4,false
35,1,0,16,0,8,15,4,4,false
35,2,1,16,66,72,6,10,3,false
35,3,0,27,66,7,18,3,7,false
35,4,0,49,66,2,24,1,3,false
35,5,0,98,66,5,54,1,10,false
35,6,1,98,81,24,9,7,4,false
35,7,0,128,81,8,38,3,7,true
36,0,Null,0,0,65,71,10,11,false
36,0,0,21,0,8,29,3,6,false
36,1,0,86,0,10,75,2,10,false
36,2,0,91,0,6,11,3,4,false
36,3,0,108,0,1,18,1,6,true
37,0,Null,0,0,59,79,10,11,false
37,0,0,1,0,10,11,4,3,false
37,1,0,13,0,2,14,1,4,false
37,2,0,47,0,9,43,4,7,false
37,3,1,47,20,25,5,7,3,false
37,4,1,47,43,29,6,6,3,false
37,5,0,58,43,2,13,1,3,false
37,6,0,88,43,10,40,3,7,false
37,7,0,106,43,9,27,4,4,true
38,0,Null,0,0,71,49,10,11,false
38,0,1,0,67,69,2,10,1,false
38,1,1,0,84,19,2,4,1,false
