Game,Rounds,P0 Score,P1 Score,Winner
415,3,0,166,1
416,2,0,112,1
417,2,0,103,1
418,2,0,111,1
419,2,0,117,1
420,3,0,152,1
421,2,0,109,1
422,2,0,104,1
423,2,0,128,1
424,2,0,134,1
425,2,0,125,1
426,2,0,132,1
427,2,0,110,1
428,3,0,158,1
429,3,0,138,1
430,2,0,116,1
431,2,0,123,1
432,2,0,126,1
433,3,0,168,1
434,3,0,112,1
435,4,0,162,1
436,2,0,102,1
437,2,0,139,1
438,3,0,151,1
439,2,0,103,1
440,3,0,150,1
441,2,0,105,1
442,3,0,102,1
443,2,0,110,1
444,3,0,122,1
445,3,0,108,1
446,2,0,125,1
447,3,0,151,1
448,2,0,122,1
449,2,0,106,1
450,3,0,131,1
451,3,57,121,1
452,3,0,103,1
453,2,0,134,1
454,2,0,125,1
455,3,0,110,1
456,3,0,137,1
457,2,0,115,1
458,3,0,137,1
459,2,0,119,1
460,3,0,128,1
461,3,0,137,1
462,2,0,112,1
463,2,0,130,1
464,3,0,125,1
465,2,0,104,1
466,3,0,133,1
467,3,0,116,1
468,3,0,152,1
469,2,0,119,1
470,2,0,115,1
471,3,0,160,1
472,2,0,119,1
473,3,0,108,1
474,3,0,165,1
475,2,0,113,1
476,2,0,125,1
477,3,0,140,1
478,2,0,142,1
479,2,0,134,1
480,2,0,117,1
481,3,0,140,1
482,2,0,112,1
483,3,0,160,1
484,2,0,126,1
485,2,0,104,1
486,3,0,137,1
487,3,0,125,1
488,3,0,102,1
489,3,0,156,1
490,2,0,110,1
491,4,33,154,1
492,2,0,128,1
493,3,0,164,1
494,3,0,145,1
495,3,11,121,1
496,2,0,108,1
497,2,0,102,1
498,2,0,119,1
499,2,0,112,1
