Game,Rounds,P0 Score,P1 Score,Winner
131,2,128,0,0
132,3,136,0,0
133,4,158,0,0
134,3,142,0,0
135,2,120,0,0
136,2,129,0,0
137,3,133,0,0
138,2,122,0,0
139,2,105,0,0
140,2,111,0,0
141,3,103,0,0
142,3,131,8,0
143,2,103,0,0
144,2,117,0,0
145,3,119,0,0
146,2,100,0,0
147,2,131,0,0
148,2,108,0,0
149,2,137,0,0
150,2,100,0,0
151,2,110,0,0
152,3,115,0,0
153,3,157,0,0
154,3,151,0,0
155,2,112,0,0
156,2,117,0,0
157,2,140,0,0
158,3,131,0,0
159,3,141,0,0
160,3,161,0,0
161,3,150,0,0
162,2,108,0,0
163,2,108,0,0
164,2,117,0,0
165,2,124,0,0
166,3,117,0,0
167,2,107,0,0
168,3,146,0,0
169,3,143,0,0
170,3,111,0,0
171,2,108,0,0
172,2,119,0,0
173,2,120,0,0
174,2,101,0,0
175,2,138,0,0
176,2,101,0,0
177,3,170,0,0
178,2,118,0,0
179,3,153,0,0
180,2,150,0,0
181,3,154,0,0
182,3,122,0,0
183,2,105,0,0
184,3,121,0,0
185,3,109,0,0
186,3,126,0,0
187,2,121,0,0
188,2,123,0,0
189,2,107,0,0
190,2,121,0,0
191,3,144,0,0
192,3,119,0,0
193,4,129,0,0
194,2,122,0,0
195,2,106,0,0
196,2,108,0,0
197,2,133,0,0
198,3,127,0,0
199,3,133,0,0
200,3,123,0,0
201,3,118,0,0
202,2,107,0,0
203,3,138,0,0
204,2,115,0,0
205,3,162,0,0
206,3,135,0,0
207,2,133,0,0
208,2,105,0,0
209,4,127,12,0
210,4,159,0,0
211,2,111,0,0
212,4,105,0,0
213,3,130,0,0
214,2,114,0,0
215,2,132,0,0
216,3,130,0,0
217,2,116,0,0
218,2,111,0,0
219,3,164,0,0
220,3,137,0,0
221,3,158,0,0
222,2,111,0,0
223,2,107,0,0
224,3,128,0,0
225,2,134,0,0
226,2,119,0,0
227,2,105,0,0
228,2,121,0,0
229,2,104,0,0
230,3,121,0,0
231,2,137,0,0
232,3,165,0,0
233,3,167,0,0
234,2,124,0,0
235,2,125,0,0
236,2,116,0,0
237,3,153,0,0
238,2,132,0,0
239,3,201,0,0
240,2,115,0,0
241,2,106,0,0
242,2,123,0,0
243,2,102,0,0
244,2,101,0,0
245,2,120,0,0
246,2,139,0,0
247,3,158,0,0
248,2,117,0,0
249,3,116,0,0
250,2,100,0,0
251,2,133,0,0
252,3,148,0,0
253,2,114,0,0
254,3,144,0,0
255,2,113,0,0
256,2,103,0,0
257,2,116,0,0
258,2,112,0,0
259,3,136,0,0
260,2,122,0,0
261,2,132,0,0
262,2,156,0,0
263,2,119,0,0
264,3,100,0,0
265,2,125,0,0
266,2,112,0,0
267,2,113,0,0
268,3,157,0,0
269,2,115,0,0
270,2,105,0,0
271,2,124,0,0
272,2,139,0,0
273,2,112,0,0
274,2,121,0,0
275,2,100,0,0
276,2,112,0,0
277,3,102,0,0
278,2,105,0,0
279,2,119,0,0
280,3,129,0,0
281,2,107,0,0
282,2,132,0,0
283,2,134,0,0
284,2,107,0,0
285,2,139,0,0
286,2,104,0,0
287,2,113,0,0
288,3,127,0,0
289,2,108,0,0
